id,label,timeset,weight<links>,weight<citations>,cluster,weight<total_link_strength>
1036.0,"rothman ls, 2005, j quant spectrosc ra, v96, p139, doi 10.1016/j.jqsrt.2004.10.008",,46.0,4.0,2.0,55.0
1037.0,"rothman ls, 2009, j quant spectrosc ra, v110, p533, doi 10.1016/j.jqsrt.2009.02.013",,24.0,2.0,1.0,26.0
1041.0,"russell jm, 1993, j geophys res-atmos, v98, p10777, doi 10.1029/93jd00799",,10.0,2.0,4.0,12.0
1060.0,"schaerer g, 1979, radio sci, v14, p371, doi 10.1029/rs014i003p00371",,10.0,2.0,5.0,14.0
1076.0,"schwerdtfeger w, 1984, weather climate anta",,22.0,2.0,1.0,25.0
1088.0,"serabyn e, 1998, appl optics, v37, p2185, doi 10.1364/ao.37.002185",,40.0,3.0,2.0,68.0
1126.0,"sonntag d., 1990, zeitschrift fur meteorologie, v40, p340",,7.0,2.0,1.0,7.0
1136.0,"stark aa, 2001, publ astron soc pac, v113, p567, doi 10.1086/320281",,22.0,2.0,1.0,25.0
1174.0,"thacker dl, 1995, ieee t instrum meas, v44, p355, doi 10.1109/19.377851",,19.0,2.0,4.0,24.0
1183.0,"tomasi c, 2011, j geophys res-atmos, v116, doi 10.1029/2011jd015803",,20.0,2.0,1.0,21.0
1189.0,"townes c h, 1955, microwave spectrosco",,25.0,2.0,2.0,26.0
1190.0,"townes ch, 1990, publ astron soc pac, v102, p357, doi 10.1086/132641",,32.0,2.0,2.0,33.0
1204.0,"turner dd, 1999, j atmos ocean tech, v16, p1062, doi 10.1175/1520-0426(1999)016<1062:tfhrlw>2.0.co;2",,30.0,2.0,3.0,34.0
1206.0,"turner dd, 2003, j atmos ocean tech, v20, p117, doi 10.1175/1520-0426(2003)020<0117:dbaviv>2.0.co;2",,37.0,3.0,3.0,59.0
1208.0,"turner dd, 2007, b am meteorol soc, v88, p177, doi 10.1175/bams-88-2-177",,33.0,3.0,3.0,51.0
1209.0,"turner dd, 2007, ieee t geosci remote, v45, p3680, doi 10.1109/tgrs.2007.903703",,33.0,4.0,3.0,54.0
1210.0,"turner dd, 2007, j geophys res-atmos, v112, doi 10.1029/2007jd008530",,30.0,2.0,3.0,45.0
1211.0,"turner dd, 2009, ieee t geosci remote, v47, p3326, doi 10.1109/tgrs.2009.2022262",,26.0,2.0,3.0,30.0
1224.0,"urban j, 2004, j quant spectrosc ra, v83, p529, doi [10.1016/s0022-4073(03)00104-3 10.1016/s0022-4073(03)001040-3]",,32.0,4.0,4.0,33.0
1228.0,"valenziano l, 1999, publ astron soc aust, v16, p167",,11.0,2.0,1.0,12.0
1232.0,"vanvleck jh, 1945, rev mod phys, v17, p227, doi 10.1103/revmodphys.17.227",,56.0,6.0,2.0,98.0
1239.0,"vomel h, 2007, j atmos ocean tech, v24, p953, doi 10.1175/jtech2019.1",,25.0,2.0,3.0,28.0
1254.0,"wang jr, 1983, j clim appl meteorol, v22, p779, doi 10.1175/1520-0450(1983)022<0779:pawvbm>2.0.co;2",,10.0,2.0,5.0,14.0
1259.0,"wang jr, 1997, ieee t geosci remote, v35, p212, doi 10.1109/36.563259",,9.0,2.0,5.0,9.0
1263.0,"wang jr, 2001, ieee t geosci remote, v39, p595, doi 10.1109/36.911117",,10.0,3.0,5.0,13.0
1264.0,"wang jr, 2001, j geophys res-atmos, v106, p15251, doi 10.1029/2000jd900262",,7.0,2.0,5.0,9.0
1276.0,"waters jw, 1999, j atmos sci, v56, p194, doi 10.1175/1520-0469(1999)056<0194:tuaeml>2.0.co;2",,26.0,2.0,4.0,26.0
1291.0,"westwater e. r., 2006, p micr spec m san ju, p77",,8.0,2.0,3.0,11.0
1298.0,"westwater er, 1993, atmospheric remote s, p145",,21.0,3.0,4.0,23.0
1300.0,"westwater er, 2001, j geophys res-atmos, v106, p32019, doi 10.1029/2000jd000055",,34.0,3.0,3.0,49.0
1301.0,"westwater er, 2003, j atmos ocean tech, v20, p953, doi 10.1175/1520-0426(2003)20<953:rhsamr>2.0.co;2",,24.0,2.0,4.0,26.0
1344.0,"yang h, 2010, publ astron soc pac, v122, p490",,21.0,3.0,1.0,23.0
1358.0,"zhevakin s.a., 1963, izv vuz r, v6, p674",,38.0,3.0,2.0,58.0
